Assuming rdf:type as type relation
Loading files... 
  Starting LungCancer.tsv
  Finished LungCancer.tsv, still running: 0
Loaded 32235 facts in 0.74 s using 61 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are enabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 12 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  hasFamily  Uncle   => ?a  hasFamilyGenderDegree  male_second_degree	0.052238806	1	1	63	63	63	?a
?a  hasFamily  Grandfather   => ?a  hasFamilyGenderDegree  male_second_degree	0.045605307	1	1	55	55	55	?a
?a  hasFamily  Daughter   => ?a  hasFamilyGenderDegree  female_first_degree	0.012437811	1	1	15	15	15	?a
?a  hasFamily  Mother   => ?a  hasFamilyGenderDegree  female_first_degree	0.185737977	1	1	224	224	224	?a
?a  hasFamily  Sister   => ?a  hasFamilyGenderDegree  female_first_degree	0.127694859	1	1	154	154	154	?a
?a  hasStage  IA1   => ?a  hasGender  Male	0.033011272	0.290780142	0.290780142	41	141	141	?a
?a  hasStage  IIIA   => ?a  hasGender  Male	0.026570048	0.314285714	0.314285714	33	105	105	?a
?a  hasStage  IV   => ?a  hasGender  Male	0.020933977	0.273684211	0.273684211	26	95	95	?a
?a  hasStage  IIA   => ?a  hasGender  Male	0.020128824	0.297619048	0.297619048	25	84	84	?a
?a  hasStage  IIB   => ?a  hasGender  Male	0.037037037	0.383333333	0.383333333	46	120	120	?a
?a  hasStage  IVB   => ?a  hasGender  Male	0.011272142	0.205882353	0.205882353	14	68	68	?a
?a  hasStage  IA   => ?a  hasGender  Male	0.054750403	0.280991736	0.280991736	68	242	242	?a
?a  hasStage  IB   => ?a  hasGender  Male	0.072463768	0.31358885	0.31358885	90	287	287	?a
?a  hasAgeCategory  Young   => ?a  hasGender  Male	0.183574879	0.254180602	0.254180602	228	897	897	?a
?a  hasAgeCategory  Old   => ?a  hasGender  Male	0.115942029	0.418604651	0.418604651	144	344	344	?a
?a  hasFamily  Aunt   => ?a  hasFamilyGenderDegree  female_second_degree	0.040630182	1	1	49	49	49	?a
?a  hasFamily  Grandmother   => ?a  hasFamilyGenderDegree  female_second_degree	0.050580431	1	1	61	61	61	?a
?a  hasFamily  Brother   => ?a  hasFamilyGenderDegree  male_first_degree	0.163349917	1	1	197	197	197	?a
?a  hasFamily  Father   => ?a  hasFamilyGenderDegree  male_first_degree	0.245439469	1	1	296	296	296	?a
?a  hasStage  IIIA   => ?a  hasGender  Female	0.057971014	0.685714286	0.685714286	72	105	105	?a
?a  hasStage  IA1   => ?a  hasGender  Female	0.080515298	0.709219858	0.709219858	100	141	141	?a
?a  hasStage  IIA   => ?a  hasGender  Female	0.047504026	0.702380952	0.702380952	59	84	84	?a
?a  hasStage  IVB   => ?a  hasGender  Female	0.043478261	0.794117647	0.794117647	54	68	68	?a
?a  hasStage  IB   => ?a  hasGender  Female	0.158615137	0.68641115	0.68641115	197	287	287	?a
?a  hasStage  IVA   => ?a  hasGender  Female	0.033011272	0.803921569	0.803921569	41	51	51	?a
?a  hasStage  IIB   => ?a  hasGender  Female	0.05958132	0.616666667	0.616666667	74	120	120	?a
?a  hasStage  IA   => ?a  hasGender  Female	0.140096618	0.719008264	0.719008264	174	242	242	?a
